fua_code,name,country,population,year
BE001F,FUA Bruxelles / Leuven / Mechelen,BE,3425403,2024
BE002F,FUA Antwerpen,BE,1183670,2024
BE003F,FUA Gent,BE,684019,2024
BE004F,FUA Charleroi,BE,513808,2024
BE005F,FUA Liège,BE,806742,2024
BE006F,FUA Brugge,BE,246545,2024
BE007F,FUA Namur,BE,274582,2024
BE009F,FUA Mons,BE,256546,2024
BE010F,FUA Kortrijk,BE,222370,2024
BE011F,FUA Oostende,BE,133185,2024
BE013F,FUA Mouscron,BE,71657,2024
BE014F,FUA La Louvière,BE,167323,2024
BE015F,FUA Verviers,BE,107890,2024
BG001F,FUA Sofia/Pernik,BG,1531867,2022
BG002F,FUA Plovdiv,BG,540609,2022
BG003F,FUA Varna,BG,414762,2022
BG004F,FUA Burgas,BG,270721,2022
BG005F,FUA Pleven,BG,140904,2022
BG006F,FUA Ruse,BG,169815,2022
BG008F,FUA Stara Zagora,BG,153830,2022
BG009F,FUA Sliven,BG,115241,2022
BG010F,FUA Dobrich,BG,99681,2022
BG011F,FUA Shumen,BG,92483,2022
BG014F,FUA Haskovo,BG,83632,2022
BG015F,FUA Pazardzhik,BG,103681,2022
BG017F,FUA Veliko Tarnovo,BG,84801,2022
CH001F,FUA Bern,CH,752836,2025
CH002F,FUA Zurich,CH,2022235,2025
CH003F,FUA Geneva,CH,638068,2025
CH004F,FUA Basel,CH,589811,2025
CH005F,FUA Lausanne,CH,613469,2025
CH006F,FUA Lucerne,CH,337150,2025
CH008F,FUA Lugano,CH,183598,2025
CH009F,FUA St. Gallen,CH,277947,2025
CH010F,FUA Biel/Bienne,CH,144546,2025
CZ001F,FUA Praha / Kladno,CZ,2216746,2022
CZ002F,FUA Brno,CZ,734109,2022
CZ003F,FUA Ostrava / Havířov,CZ,695244,2022
CZ004F,FUA Plzeň,CZ,347139,2022
CZ005F,FUA Ústí nad Labem,CZ,116843,2022
CZ006F,FUA Olomouc,CZ,209537,2022
CZ007F,FUA Liberec,CZ,145475,2022
CZ008F,FUA České Budějovice,CZ,186973,2022
CZ009F,FUA Hradec Králové,CZ,152690,2022
CZ010F,FUA Pardubice,CZ,202791,2022
CZ016F,FUA Most,CZ,98133,2022
CZ018F,FUA Chomutov-Jirkov,CZ,78928,2022
DE001F,FUA Berlin / Potsdam,DE,5051349,2024
DE002F,FUA Hamburg / Elmshorn / Noderstedt,DE,3269519,2024
DE003F,FUA München,DE,2976289,2024
DE004F,FUA Köln / Leverkusen / Bergisch Gladbach / Troisdorf,DE,2312691,2024
DE005F,FUA Frankfurt am Main / Hanau / Offenbach a.M. / Oberursel / Rüsselsheim,DE,2654587,2024
DE006F,FUA Essen / Oberhausen / Bottrop / Mülheim a.d.R. / Gelsenkirchen / Gladbeck / Herten / Recklinghausen / Marl,DE,1880026,2024
DE007F,FUA Stuttgart / Esslingen a.N. / Ludwigsburg / Sindelfingen / Böblingen / Waiblingen,DE,2545816,2024
DE008F,FUA Leipzig,DE,962374,2024
DE009F,FUA Dresden,DE,974649,2024
DE010F,FUA Dortmund / Castrop-Rauxel / Lünen / Unna,DE,1123586,2024
DE011F,FUA Düsseldorf / Neuss / Hilden / Langenfeld / Ratingen / Solingen,DE,1682481,2024
DE012F,FUA Bremen / Delmenhorst,DE,1067017,2024
DE013F,FUA Hannover,DE,1273933,2024
DE014F,FUA Nürnberg / Fürth / Erlangen,DE,1523260,2024
DE015F,FUA Bochum / Herne / Hattingen / Witten,DE,708835,2024
DE016F,FUA Bielefeld,DE,547682,2024
DE017F,FUA Halle an der Saale,DE,358200,2024
DE018F,FUA Magdeburg,DE,425035,2024
DE019F,FUA Wiesbaden,DE,428384,2024
DE020F,FUA Göttingen,DE,263748,2024
DE023F,FUA Darmstadt,DE,425711,2024
DE024F,FUA Trier,DE,268335,2024
DE025F,FUA Freiburg im Breisgau,DE,596760,2024
DE026F,FUA Regensburg,DE,444723,2024
DE027F,FUA Frankfurt (Oder),DE,90234,2024
DE029F,FUA Schwerin,DE,164283,2024
DE030F,FUA Erfurt,DE,351192,2024
DE031F,FUA Augsburg,DE,628262,2024
DE032F,FUA Bonn / St. Augustin,DE,666848,2024
DE033F,FUA Karlsruhe,DE,698774,2024
DE034F,FUA Mönchengladbach,DE,391878,2024
DE035F,FUA Mainz,DE,405620,2024
DE036F,FUA Kiel,DE,479513,2024
DE037F,FUA Saarbrücken,DE,552393,2024
DE039F,FUA Koblenz,DE,297349,2024
DE040F,FUA Rostock,DE,323819,2024
DE041F,FUA Kaiserslautern,DE,210337,2024
