fua_code,name,country,population,region,stratum,why
SE012F,FUA Helsingborg,SE,242540,North,100k-250k,largest in cell
SE010F,FUA Västerås,SE,198800,North,100k-250k,seeded draw
FI007F,FUA Lahti,FI,189282,North,100k-250k,seeded draw
SE011F,FUA Norrköping,SE,163368,North,100k-250k,seeded draw
DK002F,FUA Århus,DK,845971,North,250k-1M,pilot
DK004F,FUA Aalborg,DK,580272,North,250k-1M,seeded draw
FI003F,FUA Turku,FI,377369,North,250k-1M,seeded draw
NO004F,FUA Stavanger,NO,319822,North,250k-1M,seeded draw
SE001F,FUA Stockholm,SE,2308143,North,1M-5M,pilot
DK001F,FUA København,DK,1928612,North,1M-5M,backfill (no >5M FUA in North)
FI001F,FUA Helsinki / Espoo / Vanta,FI,1750158,North,1M-5M,country coverage (largest)
NO001F,FUA Oslo,NO,1278827,North,1M-5M,country coverage (largest)
SE002F,FUA Göteborg,SE,1021831,North,1M-5M,seeded draw
NL007F,FUA Apeldoorn,NL,248042,West,100k-250k,largest in cell
NL006F,FUA Amersfoort,NL,193533,West,100k-250k,seeded draw
DE064F,FUA Landshut,DE,173559,West,100k-250k,seeded draw
NL039F,FUA Sittard-Geleen,NL,165650,West,100k-250k,seeded draw
FR012F,FUA Grenoble,FR,724742,West,250k-1M,seeded draw
FR015F,FUA Toulon / La Seyne-sur-Mer,FR,586917,West,250k-1M,seeded draw
LU001F,FUA Luxembourg,LU,493500,West,250k-1M,country coverage (largest)
DE084F,FUA Chemnitz,DE,439562,West,250k-1M,contrast: shrinking (eastern DE)
BE001F,FUA Bruxelles / Leuven / Mechelen,BE,3425403,West,1M-5M,backfill (no >5M FUA in West)
DE002F,FUA Hamburg / Elmshorn / Noderstedt,DE,3269519,West,1M-5M,pilot
NL001F,FUA Amsterdam / Almere / Haarlem / Haarlemmermeer / Heemskerk / Hilversum / Hoorn / Purmerend / Zaanstad,NL,2988878,West,1M-5M,pilot
DE003F,FUA München,DE,2976289,West,1M-5M,backfill (no >5M FUA in West)
DE004F,FUA Köln / Leverkusen / Bergisch Gladbach / Troisdorf,DE,2312691,West,1M-5M,pilot
BE002F,FUA Antwerpen,BE,1183670,West,1M-5M,pilot
