outcome,spec,gradient_per_ln_pop,se,p,n_cities,r2,inference
mean_everyday,log-log (elasticity),-0.1971361364365808,0.026661612053170337,1.4246929794981647e-13,62,0.4307512828876596,cross-sectional space-for-time
mean_emergency,log-log (elasticity),-0.036872703654029074,0.04990052438643425,0.4599530436210284,62,0.007073290329989934,cross-sectional space-for-time
gini_everyday,log-log (elasticity),0.0616151124188766,0.02158832976060797,0.004315982186153954,62,0.11613444373300208,cross-sectional space-for-time
gini_emergency,log-log (elasticity),0.0015382460209915245,0.025699776693289936,0.9522715577671818,62,5.1689073071070624e-05,cross-sectional space-for-time
compounding_pop_share_50,log-log (elasticity),-0.024912149001546556,0.01439068101201194,0.08342846450806118,62,0.04849874474139626,cross-sectional space-for-time
compounding_intensity,log-log (elasticity),-0.007677152582892782,0.006351294973677045,0.22675740648713827,62,0.023702485713579358,cross-sectional space-for-time
mean_everyday,log-log (elasticity) + country FE,-0.1737386976764715,0.02464001386780411,1.7753496745875922e-12,62,0.7866640599973407,cross-sectional space-for-time
mean_emergency,log-log (elasticity) + country FE,0.004797725591773008,0.04777081806410347,0.9200012529926254,62,0.7036698814879283,cross-sectional space-for-time
gini_everyday,log-log (elasticity) + country FE,0.03926450184683039,0.017413619065756853,0.02414489873671846,62,0.7738890700894179,cross-sectional space-for-time
gini_emergency,log-log (elasticity) + country FE,-0.012626190071343454,0.02186340441331686,0.5635994521510654,62,0.6098688071636486,cross-sectional space-for-time
compounding_pop_share_50,log-log (elasticity) + country FE,-0.0370697108659958,0.017773034822153876,0.037003296699241406,62,0.4715425369899633,cross-sectional space-for-time
compounding_intensity,log-log (elasticity) + country FE,-0.013575923429204294,0.007944603693231148,0.08748369637151686,62,0.4626267683744707,cross-sectional space-for-time
