city,name,country,regime,service,n_facilities,pop_median_time_min,pop_mean_time_min,pop_share_beyond_15min,pop_share_beyond_30min,pop_service_deprived_share,unreachable_pop_share
aalborg,Aalborg,DK,emergency,ambulance_station,1.0,14.0,17.48522841217351,0.4715476609384517,0.1330650856551906,0.0024198253610519,0.0048790226454677
aarhus,Aarhus,DK,emergency,ambulance_station,2.0,15.0,18.018797014148557,0.4911297538642053,0.1309719773091432,0.0003058558138422,9.747682019448447e-05
alicante,Alicante,ES,emergency,ambulance_station,2.0,25.0,24.717696567780653,0.8522296714134848,0.2472443502947412,0.0003213724124605,0.0
amersfoort,Amersfoort,NL,emergency,ambulance_station,2.0,10.0,10.116230579543192,0.1282185107289041,6.892927796477391e-05,0.0,3.576247142572889e-06
amsterdam,Amsterdam,NL,emergency,ambulance_station,26.0,10.0,10.762950438314116,0.1827510119659528,0.0024166288664576,0.0003823177640199,0.0001947696890257
antwerpen,Antwerpen,BE,emergency,ambulance_station,13.0,10.0,11.420572651187552,0.2527145703666389,0.0056449500697027,0.0002880092420612,0.0
apeldoorn,Apeldoorn,NL,emergency,ambulance_station,2.0,9.0,10.326398194489048,0.1802875720212252,0.0007128909260451,0.0002171203234449,5.107407344433736e-05
arezzo,Arezzo,IT,emergency,ambulance_station,2.0,11.0,13.218859177347666,0.3565886464732322,0.013979554812106,0.0,0.0
barcelona,Barcelona,ES,emergency,ambulance_station,20.0,11.0,13.177906937952145,0.2603690526441918,0.0463285166428215,0.0003365351530227,0.0038177121074459
berlin,Berlin,DE,emergency,ambulance_station,98.0,8.0,8.000117412045784,0.0251985925005798,0.0007336308959855,0.0001952771847708,6.579825546634008e-05
bilbao,Bilbao,ES,emergency,ambulance_station,15.0,10.0,10.726177486159036,0.1817434457121239,0.0114164376059632,0.0,3.761587329364424e-06
bratislava,Bratislava,SK,emergency,ambulance_station,4.0,15.0,16.963853349919187,0.4485508641320235,0.096696574649239,0.0012199712212936,8.834990078709413e-05
brno,Brno,CZ,emergency,ambulance_station,5.0,11.0,14.048915148823797,0.3583484909439668,0.0443991139120457,1.7706129650997945e-05,0.0
bruxelles,Bruxelles,BE,emergency,ambulance_station,14.0,20.0,20.00708211259394,0.7127641873129084,0.0890294278044787,0.0003104283514066,9.721616120157184e-05
bucuresti,București,RO,emergency,ambulance_station,9.0,9.0,15.111484317458476,0.3547702004193176,0.2188599846604108,0.0789034992101565,0.0138212152767958
budapest,Budapest,HU,emergency,ambulance_station,37.0,8.0,9.658312454547245,0.1474329032914106,0.0199624975640022,3.854012233757269e-05,0.0004442526655318
caserta,Caserta,IT,emergency,ambulance_station,1.0,25.0,22.907486853037412,0.8622787505682127,0.0629367490364995,0.0,0.0
chemnitz,Chemnitz,DE,emergency,ambulance_station,18.0,7.0,7.065682322858784,0.0186892462898591,0.0014440677330805,0.0008401337629883,0.0
cosenza,Cosenza,IT,emergency,ambulance_station,2.0,13.0,14.40202510437257,0.4330899355424807,0.0456827369936102,0.0,0.0007212551675557
goteborg,Göteborg,SE,emergency,ambulance_station,2.0,23.0,24.10700380440967,0.8826433818405572,0.1695269415269396,0.0152865567281514,0.0022224258033794
grenoble,Grenoble,FR,emergency,ambulance_station,16.0,11.0,12.477021156376392,0.2438891136669982,0.0385137524894481,1.7378914418702544e-05,0.0002906792434966
hamburg,Hamburg,DE,emergency,ambulance_station,124.0,6.0,6.450034818232856,0.0251732079688111,0.0020647764473634,8.044053602382965e-05,0.0017298342956215
helsingborg,Helsingborg,SE,emergency,ambulance_station,2.0,12.0,12.673735326581246,0.2607375348580559,0.0043721132088667,0.0006736106277219,0.0
jaen,Jaén,ES,emergency,ambulance_station,3.0,21.0,19.709164761726427,0.7689789935829194,0.1290038881567681,0.0,0.0005149201470868
katowice,Katowice,PL,emergency,ambulance_station,18.0,7.0,7.81317746918703,0.0425009507414007,0.0003100122421584,0.0,0.0002534428821402
