city,lat,lon
aalborg,57.05,9.92
aarhus,56.16,10.20
alicante,38.35,-0.48
amersfoort,52.16,5.39
amsterdam,52.37,4.90
antwerpen,51.22,4.40
apeldoorn,52.21,5.97
arezzo,43.46,11.88
athina,37.98,23.73
barcelona,41.39,2.17
berlin,52.52,13.40
bilbao,43.26,-2.93
braila,45.27,27.96
bratislava,48.15,17.11
brno,49.20,16.61
bruxelles,50.85,4.35
bucuresti,44.43,26.10
budapest,47.50,19.04
caserta,41.07,14.33
chemnitz,50.83,12.92
cosenza,39.30,16.25
goteborg,57.71,11.97
grenoble,45.19,5.72
hamburg,53.55,9.99
helsingborg,56.05,12.69
helsinki,60.17,24.94
jaen,37.77,-3.79
katowice,50.26,19.02
kobenhavn,55.68,12.57
koeln,50.94,6.96
krakow,50.06,19.94
lahti,60.98,25.66
landshut,48.54,12.15
lisboa,38.72,-9.14
ljubljana,46.05,14.51
lodz,51.76,19.46
lomza,53.18,22.06
luxembourg,49.61,6.13
madrid,40.42,-3.70
milano,45.46,9.19
munchen,48.14,11.58
napoli,40.85,14.27
norrkoping,58.59,16.19
oslo,59.91,10.75
palermo,38.12,13.36
palma_de_mallorca,39.57,2.65
paris,48.86,2.35
porto,41.15,-8.61
praha,50.08,14.44
riga,56.95,24.11
roma,41.90,12.50
sittard_geleen,51.00,5.86
sofia,42.70,23.32
stavanger,58.97,5.73
stockholm,59.33,18.07
szeged,46.25,20.15
talavera_de_la_reina,39.96,-4.83
tallinn,59.44,24.75
toulon,43.12,5.93
turku,60.45,22.27
vasteras,59.61,16.55
vicenza,45.55,11.55
vilnius,54.69,25.28
warszawa,52.23,21.01
wroclaw,51.11,17.03
zagreb,45.81,15.98
zilina,49.22,18.74
