variant,target,spearman_rho,kendall_tau,n_cities
emergency_lam1.4,divergence_gap,0.9904222204485595,0.9249208502939846,67
emergency_lam1.4,gini_emergency,0.9859924974060181,0.9176843057440073,67
emergency_lam1.4,gini_everyday,1.0,1.0,67
emergency_lam2.2,divergence_gap,0.9883470348790806,0.9240162822252376,67
emergency_lam2.2,gini_emergency,0.9853140713544578,0.9213025780189961,67
emergency_lam2.2,gini_everyday,1.0,1.0,67
everyday_k0.1_t010,divergence_gap,0.9747785138478731,0.8778833107191317,67
everyday_k0.1_t010,gini_emergency,1.0,1.0,67
everyday_k0.1_t010,gini_everyday,0.9622874930162025,0.8507462686567165,67
everyday_k0.1_t015,divergence_gap,0.9852741639396602,0.9167797376752602,67
everyday_k0.1_t015,gini_emergency,1.0,1.0,67
everyday_k0.1_t015,gini_everyday,0.9802857370899515,0.9004975124378111,67
everyday_k0.1_t020,divergence_gap,0.9932157394843963,0.9484396200814114,67
everyday_k0.1_t020,gini_emergency,1.0,1.0,67
everyday_k0.1_t020,gini_everyday,0.9916194428924896,0.9412030755314338,67
everyday_k0.2_t010,divergence_gap,0.9803256445047491,0.8995929443690639,67
everyday_k0.2_t010,gini_emergency,1.0,1.0,67
everyday_k0.2_t010,gini_everyday,0.9750977731662546,0.8778833107191317,67
everyday_k0.2_t020,divergence_gap,0.9852342565248625,0.9077340569877884,67
everyday_k0.2_t020,gini_emergency,1.0,1.0,67
everyday_k0.2_t020,gini_everyday,0.967555271769495,0.8652193577566712,67
everyday_k0.3_t010,divergence_gap,0.9875488865831272,0.9203980099502489,67
everyday_k0.3_t010,gini_emergency,1.0,1.0,67
everyday_k0.3_t010,gini_everyday,0.9851943491100648,0.9059249208502942,67
everyday_k0.3_t015,divergence_gap,0.9905818501077502,0.9357756671189508,67
everyday_k0.3_t015,gini_emergency,1.0,1.0,67
everyday_k0.3_t015,gini_everyday,0.9735812914039429,0.8923563998190865,67
everyday_k0.3_t020,divergence_gap,0.9641232340968954,0.8462234283129806,67
everyday_k0.3_t020,gini_emergency,1.0,1.0,67
everyday_k0.3_t020,gini_everyday,0.9148375768217737,0.7711442786069653,67
formswap_emergency_exponential,divergence_gap,0.9794476813792004,0.889642695612845,67
formswap_emergency_exponential,gini_emergency,0.9604916593503076,0.8525554047942109,67
formswap_emergency_exponential,gini_everyday,1.0,1.0,67
formswap_everyday_box_cox,divergence_gap,0.9449676749940141,0.8064224332881051,67
formswap_everyday_box_cox,gini_emergency,1.0,1.0,67
formswap_everyday_box_cox,gini_everyday,0.8975177587995851,0.738579828132067,67
