variant,axis,outcome,elasticity,se,p,n_cities,p_regional_permutation
baseline,baseline,gini_everyday,0.06204202752156346,0.018650650989448566,0.0008793324280357642,67,
baseline,baseline,gini_emergency,0.0039794432794979535,0.017714289837988062,0.8222547237755962,67,0.0029985007496251873
baseline,baseline,divergence_gap,,,,67,0.010494752623688156
emergency_lam1.4,curvature,gini_everyday,0.06204202752156346,0.018650650989448566,0.0008793324280357642,67,
emergency_lam1.4,curvature,gini_emergency,-0.006229579751919564,0.018436689380849147,0.7354458066612994,67,0.0029985007496251873
emergency_lam1.4,curvature,divergence_gap,,,,67,0.015992003998001
emergency_lam2.2,curvature,gini_everyday,0.06204202752156346,0.018650650989448566,0.0008793324280357642,67,
emergency_lam2.2,curvature,gini_emergency,0.014130435148219342,0.016915094476216596,0.4035069972591948,67,0.0034982508745627187
emergency_lam2.2,curvature,divergence_gap,,,,67,0.009495252373813094
everyday_k0.1_t010,curvature,gini_everyday,0.04813891034312728,0.0182049329138598,0.008186529886421889,67,
everyday_k0.1_t010,curvature,gini_emergency,0.0039794432794979535,0.017714289837988062,0.8222547237755962,67,0.0029985007496251873
everyday_k0.1_t010,curvature,divergence_gap,,,,67,0.0074962518740629685
everyday_k0.1_t015,curvature,gini_everyday,0.0480595394613126,0.017309840149676466,0.005495966385070361,67,
everyday_k0.1_t015,curvature,gini_emergency,0.0039794432794979535,0.017714289837988062,0.8222547237755962,67,0.0034982508745627187
everyday_k0.1_t015,curvature,divergence_gap,,,,67,0.01249375312343828
everyday_k0.1_t020,curvature,gini_everyday,0.04923994428129818,0.016497564463830546,0.002838754869838166,67,
everyday_k0.1_t020,curvature,gini_emergency,0.0039794432794979535,0.017714289837988062,0.8222547237755962,67,0.0014992503748125937
everyday_k0.1_t020,curvature,divergence_gap,,,,67,0.0069965017491254375
everyday_k0.2_t010,curvature,gini_everyday,0.06356871000044795,0.020021797674095867,0.0014984933542740314,67,
everyday_k0.2_t010,curvature,gini_emergency,0.0039794432794979535,0.017714289837988062,0.8222547237755962,67,0.0014992503748125937
everyday_k0.2_t010,curvature,divergence_gap,,,,67,0.0074962518740629685
everyday_k0.2_t020,curvature,gini_everyday,0.06372232811111142,0.017697352929930684,0.00031739819661241573,67,
everyday_k0.2_t020,curvature,gini_emergency,0.0039794432794979535,0.017714289837988062,0.8222547237755962,67,0.0029985007496251873
everyday_k0.2_t020,curvature,divergence_gap,,,,67,0.01249375312343828
everyday_k0.3_t010,curvature,gini_everyday,0.07520326506311825,0.02097252571428834,0.00033604752034197786,67,
everyday_k0.3_t010,curvature,gini_emergency,0.0039794432794979535,0.017714289837988062,0.8222547237755962,67,0.0029985007496251873
everyday_k0.3_t010,curvature,divergence_gap,,,,67,0.0074962518740629685
everyday_k0.3_t015,curvature,gini_everyday,0.07295961214156763,0.019609532533969194,0.00019873455510387896,67,
everyday_k0.3_t015,curvature,gini_emergency,0.0039794432794979535,0.017714289837988062,0.8222547237755962,67,0.004497751124437781
everyday_k0.3_t015,curvature,divergence_gap,,,,67,0.009995002498750625
everyday_k0.3_t020,curvature,gini_everyday,0.0719573521797376,0.01880618037280263,0.00013010441091845635,67,
everyday_k0.3_t020,curvature,gini_emergency,0.0039794432794979535,0.017714289837988062,0.8222547237755962,67,0.00399800099950025
everyday_k0.3_t020,curvature,divergence_gap,,,,67,0.015992003998001
formswap_emergency_exponential,form_swap,gini_everyday,0.06204202752156346,0.018650650989448566,0.0008793324280357642,67,
formswap_emergency_exponential,form_swap,gini_emergency,0.0981513690854033,0.026987037240525952,0.0002758511836557343,67,0.0009995002498750624
formswap_emergency_exponential,form_swap,divergence_gap,,,,67,0.0004997501249375312
formswap_emergency_survival,form_swap,gini_everyday,0.06204202752156346,0.018650650989448566,0.0008793324280357642,67,
formswap_emergency_survival,form_swap,gini_emergency,0.0008457101045336157,0.0219972930382244,0.9693320064927695,67,0.49025487256371814
formswap_emergency_survival,form_swap,divergence_gap,,,,67,0.39430284857571213
formswap_everyday_box_cox,form_swap,gini_everyday,0.02632490710347109,0.015116115717712516,0.08159375364686333,67,
formswap_everyday_box_cox,form_swap,gini_emergency,0.0039794432794979535,0.017714289837988062,0.8222547237755962,67,0.004997501249375313
formswap_everyday_box_cox,form_swap,divergence_gap,,,,67,0.009495252373813094
