city,lat,lon
paris,48.8566,2.3522
madrid,40.4168,-3.7038
barcelona,41.3874,2.1686
milano,45.4642,9.1900
berlin,52.5200,13.4050
roma,41.9028,12.4964
athina,37.9838,23.7275
bruxelles,50.8503,4.3517
napoli,40.8518,14.2681
warszawa,52.2297,21.0122
hamburg,53.5511,9.9937
bucuresti,44.4268,26.1025
lisboa,38.7223,-9.1393
munchen,48.1351,11.5820
budapest,47.4979,19.0402
amsterdam,52.3676,4.9041
stockholm,59.3293,18.0686
koeln,50.9375,6.9603
praha,50.0755,14.4378
kobenhavn,55.6761,12.5683
sofia,42.6977,23.3219
helsinki,60.1699,24.9384
oslo,59.9139,10.7522
porto,41.1579,-8.6291
krakow,50.0647,19.9450
katowice,50.2649,19.0238
zagreb,45.8150,15.9819
antwerpen,51.2194,4.4025
riga,56.9496,24.1052
bilbao,43.2630,-2.9350
lodz,51.7592,19.4560
goteborg,57.7089,11.9746
vilnius,54.6872,25.2797
palermo,38.1157,13.3615
alicante,38.3452,-0.4810
wroclaw,51.1079,17.0385
bratislava,48.1486,17.1077
ljubljana,46.0569,14.5058
palma_de_mallorca,39.5696,2.6502
brno,49.1951,16.6068
tallinn,59.4370,24.7536
grenoble,45.1885,5.7245
luxembourg,49.6116,6.1319
toulon,43.1242,5.9280
aarhus,56.1629,10.2039
chemnitz,50.8278,12.9214
turku,60.4518,22.2666
stavanger,58.9700,5.7331
aalborg,57.0488,9.9217
caserta,41.0737,14.3329
vicenza,45.5455,11.5354
helsingborg,56.0465,12.6945
jaen,37.7796,-3.7849
szeged,46.2530,20.1414
apeldoorn,52.2112,5.9699
cosenza,39.2988,16.2535
braila,45.2692,27.9575
amersfoort,52.1561,5.3878
zilina,49.2231,18.7394
vasteras,59.6099,16.5448
norrkoping,58.5877,16.1924
lahti,60.9827,25.6612
landshut,48.5372,12.1522
sittard_geleen,50.9983,5.8687
arezzo,43.4633,11.8796
lomza,53.1781,22.0587
talavera_de_la_reina,39.9634,-4.8303
