city,axis,variant,layer,threshold,gini_everyday,gini_emergency,divergence_gap,share_LL,share_LH,share_HL,share_HH
amsterdam,curvature,baseline,baseline,0.5,0.5008789108410493,0.326204794944144,-0.1746741158969053,0.2854407768934178,0.21455733083638795,0.2145838222733453,0.28541806999684893
amsterdam,curvature,everyday_k0.1_t010,curvature,0.5,0.3931125679046286,0.326204794944144,-0.06690777296048461,0.28514580638100506,0.21487058185867455,0.21487879278575803,0.28510481897456236
amsterdam,curvature,everyday_k0.1_t015,curvature,0.5,0.45162236317146304,0.326204794944144,-0.12541756822731903,0.2847823264264211,0.21522877375239025,0.21524227274034205,0.28474662708084664
amsterdam,curvature,everyday_k0.1_t020,curvature,0.5,0.5186110712318354,0.326204794944144,-0.19240627628769136,0.28488484192566926,0.21510716426333826,0.21513975724109385,0.2848682365698986
amsterdam,curvature,everyday_k0.2_t010,curvature,0.5,0.3752184001448281,0.326204794944144,-0.049013605200684096,0.28226621575773425,0.21773613469859343,0.2177583834090289,0.28223926613464345
amsterdam,curvature,everyday_k0.2_t020,curvature,0.5,0.633059203796541,0.326204794944144,-0.306854408852397,0.2861856194682433,0.21381317744367906,0.21383897969851984,0.2861622233895578
amsterdam,curvature,everyday_k0.3_t010,curvature,0.5,0.4026548356103782,0.326204794944144,-0.07645004066623418,0.2811423877002733,0.21884584429766485,0.2188822114664898,0.28112955653557203
amsterdam,curvature,everyday_k0.3_t015,curvature,0.5,0.5832341786761934,0.326204794944144,-0.2570293837320494,0.28640078592455703,0.21360796738182714,0.21362381324220608,0.28636743345140975
amsterdam,curvature,everyday_k0.3_t020,curvature,0.5,0.7337979688621139,0.326204794944144,-0.4075931739179699,0.28755660964103014,0.2124387761069952,0.21246798952573295,0.2875366247262417
amsterdam,curvature,emergency_lam1.4,curvature,0.5,0.5008789108410493,0.26026492119280287,-0.24061398964824643,0.2848154745869938,0.21518263314281197,0.21519066727396016,0.2848112249962341
amsterdam,curvature,emergency_lam2.2,curvature,0.5,0.5008789108410493,0.39753298597668785,-0.10334592486436145,0.2839123092925762,0.21608579843722953,0.22000904226028098,0.27999285000991325
amsterdam,form_swap,formswap_everyday_box_cox,form_swap,0.5,0.4116851260144808,0.326204794944144,-0.08548033107033681,0.28503420026747434,0.2149736869311979,0.21499039889928878,0.285001713902039
amsterdam,form_swap,formswap_emergency_exponential,form_swap,0.5,0.5008789108410493,0.9734224445964786,0.47254353375542935,0.2835401726382527,0.21645793509155303,0.21609083387843717,0.28391105839175707
amsterdam,threshold,threshold_0.4,threshold,0.4,,,,0.18772703593564946,0.21228421651770618,0.21943633796974785,0.3805524095768965
amsterdam,threshold,threshold_0.5,threshold,0.5,,,,0.2854407768934178,0.21455733083638795,0.2145838222733453,0.28541806999684893
amsterdam,threshold,threshold_0.6,threshold,0.6,,,,0.39867275326175505,0.20132656656164352,0.20109384279050663,0.1989068373860948
amsterdam,threshold,threshold_0.75,threshold,0.75,,,,0.5914303684847867,0.15855853348674587,0.15778895300242995,0.09222214502603754
