city,axis,variant,layer,threshold,gini_everyday,gini_emergency,divergence_gap,share_LL,share_LH,share_HL,share_HH
bilbao,curvature,baseline,baseline,0.5,0.5700091477016417,0.4329467477695761,-0.1370623999320656,0.3258412588561097,0.17418414966923598,0.17593282810176905,0.3240417633728853
bilbao,curvature,everyday_k0.1_t010,curvature,0.5,0.4973459529416909,0.4329467477695761,-0.06439920517211484,0.3245519349958822,0.17527775495706094,0.17722215196199656,0.32294815808506033
bilbao,curvature,everyday_k0.1_t015,curvature,0.5,0.5405051661981097,0.4329467477695761,-0.10755841842853364,0.32439409051776147,0.17559651790214914,0.17737999644011726,0.32262939513997213
bilbao,curvature,everyday_k0.1_t020,curvature,0.5,0.5881787615856544,0.4329467477695761,-0.15523201381607832,0.3239896136025063,0.17592803482565,0.17778447335537245,0.32229787821647127
bilbao,curvature,everyday_k0.2_t010,curvature,0.5,0.48199409773056806,0.4329467477695761,-0.04904734996099197,0.3244279688063921,0.17553719284124217,0.17734611815148663,0.3226887202008791
bilbao,curvature,everyday_k0.2_t020,curvature,0.5,0.6571206978513561,0.4329467477695761,-0.22417395008177998,0.3268281105865497,0.17317686023046974,0.17494597637132905,0.32504905281165153
bilbao,curvature,everyday_k0.3_t010,curvature,0.5,0.5015129116854659,0.4329467477695761,-0.06856616391588977,0.3238610301966393,0.17605742679694306,0.17791305676123942,0.3221684862451782
bilbao,curvature,everyday_k0.3_t015,curvature,0.5,0.6193581628493902,0.4329467477695761,-0.18641141507981407,0.3268014744485798,0.17311456816712564,0.1749726125092989,0.3251113448749956
bilbao,curvature,everyday_k0.3_t020,curvature,0.5,0.7122661496715756,0.4329467477695761,-0.27931940190199955,0.32711968228097543,0.17287056565046816,0.17465440467690327,0.3253553473916531
bilbao,curvature,emergency_lam1.4,curvature,0.5,0.5700091477016417,0.3450130719921475,-0.2249960757094942,0.3241840328269264,0.1758413756984192,0.17652393278432482,0.3234506586903295
bilbao,curvature,emergency_lam2.2,curvature,0.5,0.5700091477016417,0.5205090378315308,-0.04950010987011089,0.32419251863328613,0.17583288989205953,0.180197159894892,0.31977743157976235
bilbao,form_swap,formswap_everyday_box_cox,form_swap,0.5,0.5137863224854388,0.4329467477695761,-0.08083957471586267,0.3254925255941026,0.17432029012280234,0.17628156136377615,0.3239056229193189
bilbao,form_swap,formswap_emergency_exponential,form_swap,0.5,0.5700091477016417,0.9775122117646913,0.4075030640630496,0.32419251863328613,0.17583288989205953,0.180197159894892,0.31977743157976235
bilbao,threshold,threshold_0.4,threshold,0.4,,,,0.23117317162139142,0.16883156716160064,0.167324307169541,0.4326709540474669
bilbao,threshold,threshold_0.5,threshold,0.5,,,,0.3258412588561097,0.17418414966923598,0.17593282810176905,0.3240417633728853
bilbao,threshold,threshold_0.6,threshold,0.6,,,,0.4391537311605661,0.16081533005066637,0.16089664371490423,0.2391342950738633
bilbao,threshold,threshold_0.75,threshold,0.75,,,,0.6232658224048078,0.12673019159689752,0.12666456624226205,0.12333941975603263
