city,axis,variant,layer,threshold,gini_everyday,gini_emergency,divergence_gap,share_LL,share_LH,share_HL,share_HH
helsingborg,curvature,baseline,baseline,0.5,0.28372724938538496,0.38655998106610717,0.10283273168072221,0.36506681275126485,0.13496013310936666,0.13467823628470507,0.36529481785466345
helsingborg,curvature,everyday_k0.1_t010,curvature,0.5,0.25139244618343864,0.38655998106610717,0.13516753488266853,0.3700775923774081,0.12988351246207025,0.12966745665856177,0.37037143850195986
helsingborg,curvature,everyday_k0.1_t015,curvature,0.5,0.27187735826792314,0.38655998106610717,0.11468262279818403,0.36745780107368675,0.13256143573205129,0.13228724796228314,0.3676935152319788
helsingborg,curvature,everyday_k0.1_t020,curvature,0.5,0.2929610384698095,0.38655998106610717,0.0935989425962977,0.3664632595337506,0.13352581752271747,0.1332817895022193,0.3667291334413126
helsingborg,curvature,everyday_k0.2_t010,curvature,0.5,0.2446302174235736,0.38655998106610717,0.14192976364253357,0.3577316136097143,0.14216643205889937,0.14201343542625564,0.3580885189051307
helsingborg,curvature,everyday_k0.2_t020,curvature,0.5,0.3156064581663,0.38655998106610717,0.07095352289980716,0.3632060584359347,0.13679614872647214,0.13653899060003524,0.36345880223755794
helsingborg,curvature,everyday_k0.3_t010,curvature,0.5,0.25706423824135277,0.38655998106610717,0.1294957428247544,0.34616724709693725,0.1538008829826597,0.15357780193903264,0.3464540679813704
helsingborg,curvature,everyday_k0.3_t015,curvature,0.5,0.30353415876388135,0.38655998106610717,0.08302582230222583,0.3631040976580118,0.1368618505868873,0.13664095137795806,0.3633931003771428
helsingborg,curvature,everyday_k0.3_t020,curvature,0.5,0.3315774390283956,0.38655998106610717,0.05498254203771158,0.36178341339473813,0.13812572480073199,0.13796163564123176,0.3621292261632981
helsingborg,curvature,emergency_lam1.4,curvature,0.5,0.28372724938538496,0.3143554909684785,0.03062824158309352,0.36506681275126485,0.13496013310936666,0.13467823628470507,0.36529481785466345
helsingborg,curvature,emergency_lam2.2,curvature,0.5,0.28372724938538496,0.4582416824123192,0.17451443302693426,0.36506681275126485,0.13496013310936666,0.13467823628470507,0.36529481785466345
helsingborg,form_swap,formswap_everyday_box_cox,form_swap,0.5,0.26671784210492105,0.38655998106610717,0.11984213896118612,0.37088784922810175,0.1290764397720316,0.12885719980786814,0.3711785111919985
helsingborg,form_swap,formswap_emergency_exponential,form_swap,0.5,0.28372724938538496,0.290539171403321,0.006811922017936012,0.36506681275126485,0.13496013310936666,0.13467823628470507,0.36529481785466345
helsingborg,threshold,threshold_0.4,threshold,0.4,,,,0.25568055335019996,0.14427374854712774,0.1452978842944869,0.4547478138081854
helsingborg,threshold,threshold_0.5,threshold,0.5,,,,0.36506681275126485,0.13496013310936666,0.13467823628470507,0.36529481785466345
helsingborg,threshold,threshold_0.6,threshold,0.6,,,,0.4779854149856041,0.12204560645073081,0.12522395412963738,0.2747450244340277
helsingborg,threshold,threshold_0.75,threshold,0.75,,,,0.629875889466413,0.1200659053412439,0.11823281957103352,0.13182538562130955
