city,axis,variant,kappa,gamma,bandwidth,k_nearest,policy,cap_min,finite_fill_min,off_network,modes,threshold,gini_everyday,gini_emergency,divergence_gap,spearman_rho,share_LL,share_LH,share_HL,share_HH,max_tie_everyday,zero_floor_pop_share,off_network_pop_share,degenerate,evaluable,not_evaluable_reason,pop_share_beyond_everyday_15,pop_share_beyond_everyday_30,flip_pop_share
koeln,baseline,baseline,0.5,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.5185792297885011,0.39932235046348585,-0.11925687932501527,0.36402753156914847,0.3117384414178052,0.18825742085799219,0.1873833452405649,0.31262079248363767,0.018584057176137404,0.12914337111197172,0.00017702010104021828,False,True,,0.18131534982855255,0.13183127566186664,0.0
koeln,kappa,kappa_0.1,0.1,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.8283133790998388,0.39932235046348585,-0.42899102863635297,0.5820333408100618,0.37307783262367844,0.13266741647588307,0.12604395403469168,0.3682107968657468,0.5057452490995615,0.8992371739179472,0.00017702010104021828,True,True,,0.1674840829423598,0.11544405884146958,0.21874126281511128
koeln,kappa,kappa_0.25,0.25,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.6431261683026266,0.39932235046348585,-0.24380381783914074,0.4580331758527944,0.3290904918991083,0.17091454124651262,0.17003129475926185,0.32996367209511723,0.018584057176137404,0.4897217830129786,0.00017702010104021828,False,True,,0.17400842013175444,0.12627809293802833,0.062176844557048826
koeln,kappa,kappa_1.0,1.0,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.4775087628367682,0.39932235046348585,-0.07818641237328233,0.33471243174517223,0.3067778043690254,0.1932153673579747,0.19234398228934474,0.3076628459836552,0.018584057176137404,0.04987003444133535,0.00017702010104021828,False,True,,0.18547563200532238,0.13393196139594576,0.025386351646059502
koeln,kappa,kappa_2.0,2.0,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.4656964515245538,0.39932235046348585,-0.06637410106106795,0.3274150198705153,0.3051317682333381,0.19486607648000087,0.19399001842503205,0.306012136861629,0.018584057176137404,0.041147205680669034,0.00017702010104021828,False,True,,0.18681544171495254,0.13494424959637272,0.035748647363646524
koeln,gamma,gamma_0.0,0.5,0.0,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.4901774047813681,0.39932235046348585,-0.09085505431788227,0.5594002603994052,0.34675276398713195,0.15325097606269997,0.1523690226712382,0.3476272372789299,0.018584057176137404,0.10702328982086398,0.00017702010104021828,False,True,,0.2408823929030843,0.15440001280918325,0.14130883589614776
koeln,gamma,gamma_0.25,0.5,0.25,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.4997919536483187,0.39932235046348585,-0.10046960318483283,0.46782499222330404,0.3297823070238619,0.17020687170596377,0.1693394796345082,0.3306713416356661,0.018584057176137404,0.11224452063512137,0.00017702010104021828,False,True,,0.1986479394181013,0.141940899842365,0.07152154772368259
koeln,gamma,gamma_1.0,0.5,1.0,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.5417775036676835,0.39932235046348585,-0.14245515320419766,0.24609294387225067,0.2865217518573132,0.2134721510197034,0.21260003480105694,0.28740606232192645,0.018584057176137404,0.15765366491035723,0.00017702010104021828,False,True,,0.17134357524673427,0.12535262584145218,0.12235528873992407
koeln,bandwidth,bandwidth_10,0.5,0.5,10.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.5118737707911616,0.39932235046348585,-0.11255142032767573,0.38276270058610795,0.31750980944735413,0.1824940274086366,0.18161197721101602,0.3183841859329933,0.018584057176137404,0.1227838173328007,0.00017702010104021828,False,True,,0.1819774120423147,0.13417810146716985,0.02629819288812908
koeln,bandwidth,bandwidth_20,0.5,0.5,20.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.5233838098197965,0.39932235046348585,-0.12406145935631063,0.35955801863499876,0.31086598298706075,0.18913503474423926,0.1882558036713094,0.3117431785973906,0.018584057176137404,0.13323601392164106,0.00017702010104021828,False,True,,0.18115192306890593,0.13119400162794081,0.01145672327404287
koeln,k_nearest,k_nearest_10,0.5,0.5,15.0,10.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.4909179858372159,0.39932235046348585,-0.09159563537373006,0.41895532798473745,0.3217682716572344,0.1782314945126471,0.17735351500113575,0.32264671882898277,0.018584057176137404,0.12183105529020123,0.00017702010104021828,False,True,,0.19901838504709388,0.13887815843419343,0.05757893189273104
koeln,nearest_only,nearest_only,inf,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,mask,walk,0.5,0.46085785645110766,0.39932235046348585,-0.06153550598762181,0.32460943616167776,0.3044854735101641,0.19553294062234006,0.19463631314820604,0.3053452727192898,0.018584057176137404,0.040555122300881055,0.00017702010104021828,False,True,,0.1876791317589921,0.13516039505211588,0.03988853642285279
koeln,unreachable,unreachable_fill_60,0.5,0.5,15.0,30.0,cap_at_max_time,120.0,60.0,mask,walk,0.5,0.5185624297016909,0.39932235046348585,-0.11924007923820501,0.3640246554230943,0.3117384414178052,0.18825742085799219,0.1873833452405649,0.31262079248363767,0.018584057176137404,0.12914337111197172,0.00017702010104021828,False,True,,0.16967523555567118,0.0763554091930668,0.0
koeln,unreachable,unreachable_fill_90,0.5,0.5,15.0,30.0,cap_at_max_time,120.0,90.0,mask,walk,0.5,0.5185791882446454,0.39932235046348585,-0.11925683778115959,0.36402751923731336,0.3117384414178052,0.18825742085799219,0.1873833452405649,0.31262079248363767,0.018584057176137404,0.12914337111197172,0.00017702010104021828,False,True,,0.18131534982855255,0.10522296680487775,0.0
koeln,unreachable,unreachable_fill_180,0.5,0.5,15.0,30.0,cap_at_max_time,120.0,180.0,mask,walk,0.5,0.5185792298917332,0.39932235046348585,-0.11925687942824736,0.364027455613843,0.3117384414178052,0.18825742085799219,0.1873833452405649,0.31262079248363767,0.018584057176137404,0.12914337111197172,0.00017702010104021828,False,True,,0.18131534982855255,0.16621001742244518,0.0
koeln,off_network,off_network_cap,0.5,0.5,15.0,30.0,cap_at_max_time,120.0,120.0,cap,walk,0.5,0.518726489269233,0.4061005272069856,-0.11262596206224745,0.36436312005903515,0.3117340312392672,0.18826958727630855,0.1872994008299973,0.31269698065442697,0.018757787525498566,0.12914337111197172,0.00017702010104021828,False,True,,0.18146027346804597,0.13198495897716891,9.626555783808643e-05
