city,axis,variant,layer,threshold,gini_everyday,gini_emergency,divergence_gap,share_LL,share_LH,share_HL,share_HH
krakow,curvature,baseline,baseline,0.5,0.5206509607549118,0.5187520474670599,-0.0018989132878518555,0.39264660009177,0.10734986248961835,0.1042747655467891,0.39572877187182254
krakow,curvature,everyday_k0.1_t010,curvature,0.5,0.43950406563863975,0.5187520474670599,0.07924798182842019,0.3928481306627056,0.10715630961729833,0.10407323497585354,0.3959223247441426
krakow,curvature,everyday_k0.1_t015,curvature,0.5,0.4909662540531453,0.5187520474670599,0.027785793413914628,0.39325329051714175,0.10674711699939135,0.10366807512141739,0.3963315173620495
krakow,curvature,everyday_k0.1_t020,curvature,0.5,0.5447235579207665,0.5187520474670599,-0.025971510453706603,0.3932922923138992,0.10670779695517224,0.10362907332465987,0.39637083740626866
krakow,curvature,everyday_k0.2_t010,curvature,0.5,0.4121073328045001,0.5187520474670599,0.10664471466255981,0.389155533094281,0.11087532017252665,0.10776583254427807,0.39220331418891424
krakow,curvature,everyday_k0.2_t020,curvature,0.5,0.6184089325971952,0.5187520474670599,-0.09965688513013526,0.39181003071074505,0.10819518971422651,0.10511133492781408,0.39488344464721437
krakow,curvature,everyday_k0.3_t010,curvature,0.5,0.4289866257117738,0.5187520474670599,0.08976542175528612,0.3872703536073578,0.1127355484399985,0.10965101203120134,0.3903430859214424
krakow,curvature,everyday_k0.3_t015,curvature,0.5,0.5752747232745653,0.5187520474670599,-0.05652267580750536,0.3910788316128435,0.10891253233702694,0.10584253402571561,0.39416610202441393
krakow,curvature,everyday_k0.3_t020,curvature,0.5,0.6779682863395095,0.5187520474670599,-0.1592162388724495,0.3900588962138482,0.1099581687886704,0.1068624694247109,0.39312046557277047
krakow,curvature,emergency_lam1.4,curvature,0.5,0.5206509607549118,0.43000653423188157,-0.09064442652303023,0.3937292165175615,0.10626724606382688,0.10595804334364428,0.39404549407496736
krakow,curvature,emergency_lam2.2,curvature,0.5,0.5206509607549118,0.5939966920843064,0.07334573132939459,0.39355403986208914,0.10644242271929921,0.10360578021817353,0.3963977572004381
krakow,form_swap,formswap_everyday_box_cox,form_swap,0.5,0.46899190874551966,0.5187520474670599,0.04976013872154028,0.39383826189168397,0.10616074605762695,0.10308310374687514,0.3969178883038139
krakow,form_swap,formswap_emergency_exponential,form_swap,0.5,0.5206509607549118,0.4108815540118027,-0.10976940674310909,0.3943276087585327,0.10566885382285572,0.1059778393808589,0.3940256980377527
krakow,threshold,threshold_0.4,threshold,0.4,,,,0.2728965713091091,0.12713909651998748,0.12601368054578646,0.47395065162511696
krakow,threshold,threshold_0.5,threshold,0.5,,,,0.39264660009177,0.10734986248961835,0.1042747655467891,0.39572877187182254
krakow,threshold,threshold_0.6,threshold,0.6,,,,0.503270327171719,0.09672639525925898,0.09635149929713165,0.3036517782718904
krakow,threshold,threshold_0.75,threshold,0.75,,,,0.6446069375735002,0.10539148211950741,0.10494587247943937,0.1450557078275531
