city,axis,variant,layer,threshold,gini_everyday,gini_emergency,divergence_gap,share_LL,share_LH,share_HL,share_HH
madrid,curvature,baseline,baseline,0.5,0.5907171455960263,0.44585072249319124,-0.14486642310283504,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,curvature,everyday_k0.1_t010,curvature,0.5,0.5173432654388197,0.44585072249319124,-0.07149254294562846,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,curvature,everyday_k0.1_t015,curvature,0.5,0.558524737304816,0.44585072249319124,-0.11267401481162476,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,curvature,everyday_k0.1_t020,curvature,0.5,0.5994920749046432,0.44585072249319124,-0.15364135241145194,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,curvature,everyday_k0.2_t010,curvature,0.5,0.510628686750736,0.44585072249319124,-0.06477796425754478,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,curvature,everyday_k0.2_t020,curvature,0.5,0.6476307939698169,0.44585072249319124,-0.2017800714766257,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,curvature,everyday_k0.3_t010,curvature,0.5,0.5362619458283362,0.44585072249319124,-0.09041122333514495,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,curvature,everyday_k0.3_t015,curvature,0.5,0.6248320949615173,0.44585072249319124,-0.17898137246832602,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,curvature,everyday_k0.3_t020,curvature,0.5,0.6667025831461444,0.44585072249319124,-0.22085186065295315,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,curvature,emergency_lam1.4,curvature,0.5,0.5907171455960263,0.3526411441549787,-0.23807600144104757,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,curvature,emergency_lam2.2,curvature,0.5,0.5907171455960263,0.5392833861234579,-0.05143375947256834,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,form_swap,formswap_everyday_box_cox,form_swap,0.5,0.4714262236291159,0.44585072249319124,-0.02557550113592466,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,form_swap,formswap_emergency_exponential,form_swap,0.5,0.5907171455960263,0.3118472825926943,-0.278869863003332,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,threshold,threshold_0.4,threshold,0.4,,,,0.21920767183160825,0.18080814515626356,0.1746726369865236,0.42531154602560456
madrid,threshold,threshold_0.5,threshold,0.5,,,,0.332178130093467,0.16779993436792776,0.18023996842383874,0.3197819671147665
madrid,threshold,threshold_0.6,threshold,0.6,,,,0.4517640467860132,0.14825242194274904,0.1547923496914909,0.24519118157974681
madrid,threshold,threshold_0.75,threshold,0.75,,,,0.6389882550835656,0.11100553254922411,0.1175701854172873,0.13243602694992285
