city,axis,variant,layer,threshold,gini_everyday,gini_emergency,divergence_gap,share_LL,share_LH,share_HL,share_HH
palermo,curvature,baseline,baseline,0.5,0.3828203421929163,0.2921997723870688,-0.09062056980584748,0.2946761986635706,0.20534161502517825,0.21058628074837032,0.28939590556288075
palermo,curvature,everyday_k0.1_t010,curvature,0.5,0.33345086635339843,0.2921997723870688,-0.041251093966329644,0.2927089293979652,0.20734694368238044,0.2125535500139757,0.2873905769056786
palermo,curvature,everyday_k0.1_t015,curvature,0.5,0.37175583201607365,0.2921997723870688,-0.07955605962900486,0.2967632313317227,0.20322639293934186,0.2084992480802182,0.29151112764871717
palermo,curvature,everyday_k0.1_t020,curvature,0.5,0.41550599344608036,0.2921997723870688,-0.12330622105901157,0.3033347012178429,0.19666721579440813,0.20192777819409802,0.2980703047936509
palermo,curvature,everyday_k0.2_t010,curvature,0.5,0.31156396207593834,0.2921997723870688,-0.01936418968886955,0.2857811869416669,0.2142183475319276,0.2194812924702741,0.28051917305613144
palermo,curvature,everyday_k0.2_t020,curvature,0.5,0.4582797897723513,0.2921997723870688,-0.1660800173852825,0.3053622992218975,0.1944699173664607,0.1999001801900434,0.30026760322159834
palermo,curvature,everyday_k0.3_t010,curvature,0.5,0.32252459903783537,0.2921997723870688,-0.03032482665076658,0.28412579553149564,0.21589091507081756,0.22113668388044533,0.27884660551724144
palermo,curvature,everyday_k0.3_t015,curvature,0.5,0.4137864889804638,0.2921997723870688,-0.12158671659339498,0.2933777419582364,0.20663039253640889,0.21188473745370456,0.2881071280516502
palermo,curvature,everyday_k0.3_t020,curvature,0.5,0.4964870827467719,0.2921997723870688,-0.2042873103597031,0.30735265749466906,0.19289738561922523,0.19790982191727186,0.30184013496883383
palermo,curvature,emergency_lam1.4,curvature,0.5,0.3828203421929163,0.2155508758708576,-0.16726946632205866,0.2878467095336678,0.21217110415508103,0.21206945473265346,0.28791273157859765
palermo,curvature,emergency_lam2.2,curvature,0.5,0.3828203421929163,0.3805387689651936,-0.0022815732277226553,0.2948602747810959,0.20515753890765295,0.20643325873750543,0.2935489275737457
palermo,form_swap,formswap_everyday_box_cox,form_swap,0.5,0.3747882189154097,0.2921997723870688,-0.08258844652834091,0.304487966724096,0.19538877574057995,0.2007745126878449,0.2993487448474791
palermo,form_swap,formswap_emergency_exponential,form_swap,0.5,0.3828203421929163,0.9634428351074558,0.5806224929145395,0.2943875120058582,0.20563030168289065,0.20940757204502994,0.29057461426622117
palermo,threshold,threshold_0.4,threshold,0.4,,,,0.17967423830048668,0.22033335773372323,0.22086719310053668,0.3791252108652533
palermo,threshold,threshold_0.5,threshold,0.5,,,,0.2946761986635706,0.20534161502517825,0.21058628074837032,0.28939590556288075
palermo,threshold,threshold_0.6,threshold,0.6,,,,0.4181245911864158,0.18186084698302768,0.18161016875371178,0.21840439307684467
palermo,threshold,threshold_0.75,threshold,0.75,,,,0.6155509603175428,0.134434975697353,0.13387649477555816,0.11613756920954608
