city,axis,variant,layer,threshold,gini_everyday,gini_emergency,divergence_gap,share_LL,share_LH,share_HL,share_HH
praha,curvature,baseline,baseline,0.5,0.5151198043105031,0.47532753835009006,-0.03979226596041302,0.3524367684656583,0.14754560091793087,0.14589553538839287,0.3541220952280179
praha,curvature,everyday_k0.1_t010,curvature,0.5,0.434054084673343,0.47532753835009006,0.04127345367674706,0.3516937599953844,0.14831002270477944,0.14663854385866684,0.35335767344116936
praha,curvature,everyday_k0.1_t015,curvature,0.5,0.4867686179749831,0.47532753835009006,-0.011441079624893047,0.3550545563509318,0.14492230331882608,0.1432777475031194,0.35674539282712275
praha,curvature,everyday_k0.1_t020,curvature,0.5,0.5431969662791778,0.47532753835009006,-0.06786942792908773,0.3540977502883199,0.14590063346421434,0.14423455356573128,0.35576706268173447
praha,curvature,everyday_k0.2_t010,curvature,0.5,0.4063547961973926,0.47532753835009006,0.06897274215269744,0.3383185126368267,0.16169154594701696,0.16001379121722448,0.33997615019893185
praha,curvature,everyday_k0.2_t020,curvature,0.5,0.6182260623059338,0.47532753835009006,-0.14289852395584374,0.3502581346823704,0.14974503290685473,0.14807416917168081,0.3519226632390941
praha,curvature,everyday_k0.3_t010,curvature,0.5,0.423458052280636,0.47532753835009006,0.051869486069454074,0.3333263506738075,0.16666327815748613,0.1650059531802437,0.3350044179884627
praha,curvature,everyday_k0.3_t015,curvature,0.5,0.5692930075514979,0.47532753835009006,-0.09396546920140786,0.349534318954332,0.15049321499943538,0.14879798489971915,0.35117448114651345
praha,curvature,everyday_k0.3_t020,curvature,0.5,0.6797502653967539,0.47532753835009006,-0.2044227270466638,0.3476519242339142,0.15236753375026188,0.15068037962013694,0.34930016239568695
praha,curvature,emergency_lam1.4,curvature,0.5,0.5151198043105031,0.3862907283511664,-0.12882907595933668,0.35288606502303166,0.1470963043605575,0.14834675288748309,0.35167087772892774
praha,curvature,emergency_lam2.2,curvature,0.5,0.5151198043105031,0.5578526398617486,0.04273283555124552,0.35132074699509713,0.1486616223884921,0.1447566739958346,0.35526095662057616
praha,form_swap,formswap_everyday_box_cox,form_swap,0.5,0.4669455782361454,0.47532753835009006,0.008381960113944653,0.35678546087897023,0.1432029203541528,0.141546842975081,0.35846477579179603
praha,form_swap,formswap_emergency_exponential,form_swap,0.5,0.5151198043105031,0.9672002415940983,0.45208043728359526,0.35132074699509713,0.1486616223884921,0.14479386619553847,0.35522376442087233
praha,form_swap,formswap_emergency_survival,form_swap,0.5,0.5151198043105031,0.3295525997299007,-0.18556720458060239,0.35288606502303166,0.1470963043605575,0.14834675288748309,0.35167087772892774
praha,threshold,threshold_0.4,threshold,0.4,,,,0.22912725431686376,0.17087295821679796,0.17129037292721513,0.42870941453912315
praha,threshold,threshold_0.5,threshold,0.5,,,,0.3524367684656583,0.14754560091793087,0.14589553538839287,0.3541220952280179
praha,threshold,threshold_0.6,threshold,0.6,,,,0.4663681488166982,0.13363660325913657,0.13366278427863287,0.2663324636455323
praha,threshold,threshold_0.75,threshold,0.75,,,,0.6362211505411692,0.11378049804776431,0.11369661623144645,0.13630173517962002
