variant,target,spearman_rho,kendall_tau,n_cities
emergency_lam1.4,divergence_gap,0.9919786096256686,0.9330619629127093,67
emergency_lam1.4,gini_emergency,0.9868305531167693,0.9194934418815018,67
emergency_lam1.4,gini_everyday,1.0,1.0,67
emergency_lam2.2,divergence_gap,0.9918987947960733,0.9384893713251923,67
emergency_lam2.2,gini_emergency,0.9870699976055554,0.9240162822252376,67
emergency_lam2.2,gini_everyday,1.0,1.0,67
everyday_k0.1_t010,divergence_gap,0.9826801819778116,0.9004975124378111,67
everyday_k0.1_t010,gini_emergency,1.0,1.0,67
everyday_k0.1_t010,gini_everyday,0.9715061058344642,0.8661239258254185,67
everyday_k0.1_t015,divergence_gap,0.9900630537153805,0.9294436906377207,67
everyday_k0.1_t015,gini_emergency,1.0,1.0,67
everyday_k0.1_t015,gini_everyday,0.9847154601324928,0.9068294889190412,67
everyday_k0.1_t020,divergence_gap,0.9940537951951474,0.9457259158751699,67
everyday_k0.1_t020,gini_emergency,1.0,1.0,67
everyday_k0.1_t020,gini_everyday,0.9941735174395404,0.9511533242876529,67
everyday_k0.2_t010,divergence_gap,0.9873094420943413,0.9176843057440073,67
everyday_k0.2_t010,gini_emergency,1.0,1.0,67
everyday_k0.2_t010,gini_everyday,0.9793678665496052,0.8842152872003619,67
everyday_k0.2_t020,divergence_gap,0.9866709234575786,0.9131614654002715,67
everyday_k0.2_t020,gini_emergency,1.0,1.0,67
everyday_k0.2_t020,gini_everyday,0.9708276797829039,0.8625056535504297,67
everyday_k0.3_t010,divergence_gap,0.9906616649373454,0.9285391225689734,67
everyday_k0.3_t010,gini_emergency,1.0,1.0,67
everyday_k0.3_t010,gini_everyday,0.9858727751616251,0.9032112166440527,67
everyday_k0.3_t015,divergence_gap,0.9910607390853222,0.9402985074626867,67
everyday_k0.3_t015,gini_emergency,1.0,1.0,67
everyday_k0.3_t015,gini_everyday,0.9797669406975819,0.9004975124378111,67
everyday_k0.3_t020,divergence_gap,0.9610902705722724,0.8389868837630032,67
everyday_k0.3_t020,gini_emergency,1.0,1.0,67
everyday_k0.3_t020,gini_everyday,0.9183893367387661,0.7611940298507465,67
formswap_emergency_exponential,divergence_gap,0.9806049964083329,0.9041157847127997,67
formswap_emergency_exponential,gini_emergency,0.9556229547449917,0.8471279963817279,67
formswap_emergency_exponential,gini_everyday,1.0,1.0,67
formswap_everyday_box_cox,divergence_gap,0.9332748024582969,0.7874265038444145,67
formswap_everyday_box_cox,gini_emergency,1.0,1.0,67
formswap_everyday_box_cox,gini_everyday,0.8874610902705723,0.7213930348258708,67
