city,axis,variant,layer,threshold,gini_everyday,gini_emergency,divergence_gap,share_LL,share_LH,share_HL,share_HH
riga,curvature,baseline,baseline,0.5,0.5021501562781809,0.6818550192185967,0.17970486294041577,0.3751805653973085,0.12482669066485319,0.12569346115012758,0.37429928278771074
riga,curvature,everyday_k0.1_t010,curvature,0.5,0.43176790085928746,0.6818550192185967,0.25008711835930925,0.3711152518071572,0.1289011833467385,0.12975877474027886,0.37022479010582543
riga,curvature,everyday_k0.1_t015,curvature,0.5,0.48111472138118316,0.6818550192185967,0.20074029783741354,0.37983285003347816,0.12018258468921243,0.12104117651395792,0.3789433887633515
riga,curvature,everyday_k0.1_t020,curvature,0.5,0.5318032864381177,0.6818550192185967,0.150051732780479,0.38425368013565303,0.11573291478522553,0.11662034641178307,0.38339305866733836
riga,curvature,everyday_k0.2_t010,curvature,0.5,0.3987025106125093,0.6818550192185967,0.2831525086060874,0.3617762017524168,0.138243751115527,0.13909782479501925,0.36088222233703693
riga,curvature,everyday_k0.2_t020,curvature,0.5,0.5930988480276459,0.6818550192185967,0.0887561711909508,0.38081509516154255,0.11919202259298131,0.12005893138589352,0.3799339508595826
riga,curvature,everyday_k0.3_t010,curvature,0.5,0.4093516973756729,0.6818550192185967,0.2725033218429238,0.35901747205469015,0.14099589531563508,0.14185655449274598,0.3581300781369288
riga,curvature,everyday_k0.3_t015,curvature,0.5,0.5470689532654,0.6818550192185967,0.13478606595319675,0.37970389792662884,0.1203005664287798,0.12117012862080725,0.3788254070237841
riga,curvature,everyday_k0.3_t020,curvature,0.5,0.642700555938157,0.6818550192185967,0.0391544632804397,0.3792461439558231,0.12075626449454878,0.12162788259161295,0.37836970895801514
riga,curvature,emergency_lam1.4,curvature,0.5,0.5021501562781809,0.5613418134423527,0.05919165716417174,0.3734377213141067,0.126569534748055,0.12638497302497825,0.37360777091286007
riga,curvature,emergency_lam2.2,curvature,0.5,0.5021501562781809,0.7716934196322177,0.2695432633540368,0.3751170690609963,0.12489018700116541,0.12549528325402748,0.37449746068381085
riga,form_swap,formswap_everyday_box_cox,form_swap,0.5,0.4695189947773212,0.6818550192185967,0.21233602444127553,0.3869965166134522,0.11300407608481705,0.1138775099339839,0.3861218973677469
riga,form_swap,formswap_emergency_exponential,form_swap,0.5,0.5021501562781809,0.9353386748450462,0.43318851856686524,0.37579639478694776,0.12421086127521391,0.12493891587970149,0.3750538280581368
riga,form_swap,formswap_emergency_survival,form_swap,0.5,0.5021501562781809,0.27904936877574493,-0.223100787502436,0.37818495724303913,0.12182229881912254,0.121516185934739,0.3784765580030993
riga,threshold,threshold_0.4,threshold,0.4,,,,0.2667374688332048,0.13326639038774382,0.13147512475976772,0.4685210160192837
riga,threshold,threshold_0.5,threshold,0.5,,,,0.3751805653973085,0.12482669066485319,0.12569346115012758,0.37429928278771074
riga,threshold,threshold_0.6,threshold,0.6,,,,0.4739140782832169,0.1260890732315798,0.12589082001690285,0.2741060284683004
riga,threshold,threshold_0.75,threshold,0.75,,,,0.6364764193335323,0.11352460018079752,0.11366281560445986,0.1363361648812103
