city,axis,variant,layer,threshold,gini_everyday,gini_emergency,divergence_gap,share_LL,share_LH,share_HL,share_HH
roma,curvature,baseline,baseline,0.5,0.42385853176100907,0.5032905641982975,0.07943203243728847,0.3397943051594935,0.16019846136081245,0.15877165301889842,0.3412355804607956
roma,curvature,everyday_k0.1_t010,curvature,0.5,0.3685843749541215,0.5032905641982975,0.13470618924417604,0.3402377862459057,0.15977458592036362,0.15832817193248627,0.34165945590124447
roma,curvature,everyday_k0.1_t015,curvature,0.5,0.40748334760403054,0.5032905641982975,0.095807216594267,0.34513125817609014,0.15487736718813402,0.15343470000230183,0.34655667463347406
roma,curvature,everyday_k0.1_t020,curvature,0.5,0.44881645913227897,0.5032905641982975,0.054474105066018574,0.34751969016326667,0.15248573947259433,0.15104626801512533,0.34894830234901375
roma,curvature,everyday_k0.2_t010,curvature,0.5,0.34823592604702336,0.5032905641982975,0.15505463815127418,0.33001570270714775,0.16999607019016907,0.16855025547124422,0.331437971631439
roma,curvature,everyday_k0.2_t020,curvature,0.5,0.49530338729411105,0.5032905641982975,0.007987176904186488,0.34678528660279867,0.15321795013161918,0.1517806715755933,0.34821609168998885
roma,curvature,everyday_k0.3_t010,curvature,0.5,0.3626442530022848,0.5032905641982975,0.14064631119601273,0.32685631557979267,0.17315345636431503,0.1717096425985994,0.32828058545729305
roma,curvature,everyday_k0.3_t015,curvature,0.5,0.45768944763473945,0.5032905641982975,0.045601116563558086,0.33900030541402076,0.1610563137260026,0.1595656527643712,0.3403777280956055
roma,curvature,everyday_k0.3_t020,curvature,0.5,0.5311822337557739,0.5032905641982975,-0.02789166955747635,0.34685016677918434,0.1531363282063263,0.15171579139920763,0.3482977136152818
roma,curvature,emergency_lam1.4,curvature,0.5,0.42385853176100907,0.4070465047388202,-0.01681202702218887,0.34072968104637175,0.1592630854739342,0.15981381634790037,0.3401934171317937
roma,curvature,emergency_lam2.2,curvature,0.5,0.42385853176100907,0.592727967829218,0.16886943606820892,0.3417162258356693,0.15827654068463667,0.158747650220098,0.34125958325959604
roma,form_swap,formswap_everyday_box_cox,form_swap,0.5,0.396989000342037,0.5032905641982975,0.10630156385626055,0.34879540976588835,0.1512031700770352,0.14977054841250362,0.3502308717445729
roma,form_swap,formswap_emergency_exponential,form_swap,0.5,0.42385853176100907,0.38973926779319457,-0.034119263967814506,0.34151995896063797,0.15847280755966797,0.16110526010582743,0.3389019733738666
roma,threshold,threshold_0.4,threshold,0.4,,,,0.2564150334830489,0.14354029236278765,0.14174188303135818,0.45830279112280536
roma,threshold,threshold_0.5,threshold,0.5,,,,0.3397943051594935,0.16019846136081245,0.15877165301889842,0.3412355804607956
roma,threshold,threshold_0.6,threshold,0.6,,,,0.43836786704753145,0.1616214958379239,0.15919755221614426,0.24081308489840045
roma,threshold,threshold_0.75,threshold,0.75,,,,0.6306345900948338,0.11936857275502212,0.11923576134685518,0.13076107580328894
