variant,axis,outcome,elasticity,se,p,n_cities,p_regional_permutation
baseline,baseline,gini_everyday,0.12517958470234886,0.03446762272387451,0.00028144892285166326,67,
baseline,baseline,gini_emergency,0.0009278038235274993,0.017358497196653656,0.9573737282651796,67,0.0024987506246876563
baseline,baseline,divergence_gap,,,,67,0.00849575212393803
emergency_lam1.4,curvature,gini_everyday,0.12517958470234886,0.03446762272387451,0.00028144892285166326,67,
emergency_lam1.4,curvature,gini_emergency,-0.00781886392233106,0.01821866351596531,0.6678011070849489,67,0.0029985007496251873
emergency_lam1.4,curvature,divergence_gap,,,,67,0.010994502748625687
emergency_lam2.2,curvature,gini_everyday,0.12517958470234886,0.03446762272387451,0.00028144892285166326,67,
emergency_lam2.2,curvature,gini_emergency,0.010285156655184185,0.016359360297867952,0.5295444039888991,67,0.0014992503748125937
emergency_lam2.2,curvature,divergence_gap,,,,67,0.006496751624187906
everyday_k0.1_t010,curvature,gini_everyday,0.10610560391810152,0.028132074406972594,0.00016214238405635125,67,
everyday_k0.1_t010,curvature,gini_emergency,0.0009278038235274993,0.017358497196653656,0.9573737282651796,67,0.0024987506246876563
everyday_k0.1_t010,curvature,divergence_gap,,,,67,0.0034982508745627187
everyday_k0.1_t015,curvature,gini_everyday,0.09982725165364613,0.02634765150597675,0.00015134736099492205,67,
everyday_k0.1_t015,curvature,gini_emergency,0.0009278038235274993,0.017358497196653656,0.9573737282651796,67,0.0024987506246876563
everyday_k0.1_t015,curvature,divergence_gap,,,,67,0.005997001499250375
everyday_k0.1_t020,curvature,gini_everyday,0.09331470908550699,0.02432704741698695,0.00012513486304691662,67,
everyday_k0.1_t020,curvature,gini_emergency,0.0009278038235274993,0.017358497196653656,0.9573737282651796,67,0.0014992503748125937
everyday_k0.1_t020,curvature,divergence_gap,,,,67,0.0034982508745627187
everyday_k0.2_t010,curvature,gini_everyday,0.13806230382079632,0.03704410118610812,0.0001937944772657005,67,
everyday_k0.2_t010,curvature,gini_emergency,0.0009278038235274993,0.017358497196653656,0.9573737282651796,67,0.0009995002498750624
everyday_k0.2_t010,curvature,divergence_gap,,,,67,0.004997501249375313
everyday_k0.2_t020,curvature,gini_everyday,0.11330212688272026,0.03152681634607782,0.0003258481797634404,67,
everyday_k0.2_t020,curvature,gini_emergency,0.0009278038235274993,0.017358497196653656,0.9573737282651796,67,0.0014992503748125937
everyday_k0.2_t020,curvature,divergence_gap,,,,67,0.008995502248875561
everyday_k0.3_t010,curvature,gini_everyday,0.1537984350800949,0.041093311759947355,0.00018208003668324316,67,
everyday_k0.3_t010,curvature,gini_emergency,0.0009278038235274993,0.017358497196653656,0.9573737282651796,67,0.001999000499750125
everyday_k0.3_t010,curvature,divergence_gap,,,,67,0.006496751624187906
everyday_k0.3_t015,curvature,gini_everyday,0.13325914100662903,0.03801503283063946,0.00045586565432300085,67,
everyday_k0.3_t015,curvature,gini_emergency,0.0009278038235274993,0.017358497196653656,0.9573737282651796,67,0.0034982508745627187
everyday_k0.3_t015,curvature,divergence_gap,,,,67,0.0079960019990005
everyday_k0.3_t020,curvature,gini_everyday,0.11883088948650551,0.035449659252112756,0.0008020033530935595,67,
everyday_k0.3_t020,curvature,gini_emergency,0.0009278038235274993,0.017358497196653656,0.9573737282651796,67,0.0024987506246876563
everyday_k0.3_t020,curvature,divergence_gap,,,,67,0.01249375312343828
formswap_emergency_exponential,form_swap,gini_everyday,0.12517958470234886,0.03446762272387451,0.00028144892285166326,67,
formswap_emergency_exponential,form_swap,gini_emergency,-0.0087686905126064,0.02117743482880633,0.6788314854108727,67,0.004997501249375313
formswap_emergency_exponential,form_swap,divergence_gap,,,,67,0.0079960019990005
formswap_everyday_box_cox,form_swap,gini_everyday,0.041064330495595845,0.016942333084389045,0.015360300735155307,67,
formswap_everyday_box_cox,form_swap,gini_emergency,0.0009278038235274993,0.017358497196653656,0.9573737282651796,67,0.0024987506246876563
formswap_everyday_box_cox,form_swap,divergence_gap,,,,67,0.005497251374312844
