city,axis,variant,layer,threshold,gini_everyday,gini_emergency,divergence_gap,share_LL,share_LH,share_HL,share_HH
stavanger,curvature,baseline,baseline,0.5,0.4980526517438363,0.4915591304891936,-0.006493521254642698,0.31251282152006615,0.18750956047958778,0.20127462172481217,0.29870299627553387
stavanger,curvature,everyday_k0.1_t010,curvature,0.5,0.4029183080057703,0.4915591304891936,0.08864082248342331,0.3189192233266848,0.18109089921627539,0.1948682199181935,0.3051216575388463
stavanger,curvature,everyday_k0.1_t015,curvature,0.5,0.46048323387803336,0.4915591304891936,0.031075896611160225,0.3169665194210191,0.18301081051974355,0.1968209238238592,0.3032017462353781
stavanger,curvature,everyday_k0.1_t020,curvature,0.5,0.526093608569866,0.4915591304891936,-0.03453447808067239,0.31587851435542486,0.1840958782894582,0.19790892888945347,0.3021166784656635
stavanger,curvature,everyday_k0.2_t010,curvature,0.5,0.3775449960901547,0.4915591304891936,0.1140141343990389,0.31467023708337943,0.18533067367286252,0.1991172061614989,0.30088188308225916
stavanger,curvature,everyday_k0.2_t020,curvature,0.5,0.6262108085454227,0.4915591304891936,-0.13465167805622907,0.3097199021384417,0.19028604827505516,0.2040675411064366,0.2959265084800665
stavanger,curvature,everyday_k0.3_t010,curvature,0.5,0.3975798732562307,0.4915591304891936,0.09397925723296291,0.3109964529670644,0.18892887059558247,0.20279099027781394,0.2972836861595392
stavanger,curvature,everyday_k0.3_t015,curvature,0.5,0.5674208300409176,0.4915591304891936,-0.075861699551724,0.308370992781708,0.19160096755702363,0.20541645046317034,0.29461158919809805
stavanger,curvature,everyday_k0.3_t020,curvature,0.5,0.7159989104856732,0.4915591304891936,-0.22443977999647963,0.3057928209102142,0.1942750145343584,0.20799462233466412,0.2919375422207633
stavanger,curvature,emergency_lam1.4,curvature,0.5,0.4980526517438363,0.39098837490538046,-0.10706427683845582,0.31251282152006615,0.18750956047958778,0.20127462172481217,0.29870299627553387
stavanger,curvature,emergency_lam2.2,curvature,0.5,0.4980526517438363,0.5901193145357,0.09206666279186371,0.31251282152006615,0.18750956047958778,0.2010744535381029,0.2989031644622432
stavanger,form_swap,formswap_everyday_box_cox,form_swap,0.5,0.4333350283861591,0.4915591304891936,0.05822410210303447,0.3209322851739522,0.17909245289642248,0.19285515807092607,0.3071201038586992
stavanger,form_swap,formswap_emergency_exponential,form_swap,0.5,0.4980526517438363,0.9898142452095003,0.49176159346566406,0.31251282152006615,0.18750956047958778,0.2010744535381029,0.2989031644622432
stavanger,threshold,threshold_0.4,threshold,0.4,,,,0.21769266759007547,0.18226314948570557,0.20266640435766375,0.3973777785665552
stavanger,threshold,threshold_0.5,threshold,0.5,,,,0.31251282152006615,0.18750956047958778,0.20127462172481217,0.29870299627553387
stavanger,threshold,threshold_0.6,threshold,0.6,,,,0.41728796911020455,0.1826285779130436,0.18664108130427923,0.21344237167247265
stavanger,threshold,threshold_0.75,threshold,0.75,,,,0.6048101648122326,0.14516903280094123,0.14826554167718245,0.10175526070964373
