city,axis,variant,layer,threshold,gini_everyday,gini_emergency,divergence_gap,share_LL,share_LH,share_HL,share_HH
tallinn,curvature,baseline,baseline,0.5,0.4689851199209801,0.7090074774872612,0.24002235756628115,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,curvature,everyday_k0.1_t010,curvature,0.5,0.397784300915421,0.7090074774872612,0.31122317657184023,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,curvature,everyday_k0.1_t015,curvature,0.5,0.4490886160487608,0.7090074774872612,0.2599188614385004,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,curvature,everyday_k0.1_t020,curvature,0.5,0.5018230148125079,0.7090074774872612,0.20718446267475332,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,curvature,everyday_k0.2_t010,curvature,0.5,0.36179369213149787,0.7090074774872612,0.34721378535576336,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,curvature,everyday_k0.2_t020,curvature,0.5,0.5543458460887919,0.7090074774872612,0.15466163139846933,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,curvature,everyday_k0.3_t010,curvature,0.5,0.37166961063494813,0.7090074774872612,0.3373378668523131,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,curvature,everyday_k0.3_t015,curvature,0.5,0.5130630248527601,0.7090074774872612,0.1959444526345011,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,curvature,everyday_k0.3_t020,curvature,0.5,0.5910262434388357,0.7090074774872612,0.11798123404842553,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,curvature,emergency_lam1.4,curvature,0.5,0.4689851199209801,0.5757643179325306,0.1067791980115505,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,curvature,emergency_lam2.2,curvature,0.5,0.4689851199209801,0.8085331562357168,0.3395480363147367,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,form_swap,formswap_everyday_box_cox,form_swap,0.5,0.42317904397726264,0.7090074774872612,0.2858284335099986,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,form_swap,formswap_emergency_exponential,form_swap,0.5,0.4689851199209801,0.6649627998941523,0.19597767997317223,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,threshold,threshold_0.4,threshold,0.4,,,,0.22959669697979038,0.1703993507093489,0.17587923032244954,0.4241247219884112
tallinn,threshold,threshold_0.5,threshold,0.5,,,,0.35219717365975883,0.14779843141499444,0.15620352841437143,0.34380086651087527
tallinn,threshold,threshold_0.6,threshold,0.6,,,,0.4786730454559047,0.12138256431659557,0.1205617099907753,0.27938268023672436
tallinn,threshold,threshold_0.75,threshold,0.75,,,,0.6485983840822496,0.10122152019317497,0.09691566106810787,0.15326443465646764
