city,axis,variant,layer,threshold,gini_everyday,gini_emergency,divergence_gap,share_LL,share_LH,share_HL,share_HH
vicenza,curvature,baseline,baseline,0.5,0.3914748437591784,0.40936188396050593,0.01788704020132753,0.3445798471178435,0.15541565338092153,0.15552658278180403,0.34447791671943095
vicenza,curvature,everyday_k0.1_t010,curvature,0.5,0.3237356480870561,0.40936188396050593,0.08562623587344981,0.34449832093368565,0.1555969813674654,0.15560810896596186,0.3442965887328871
vicenza,curvature,everyday_k0.1_t015,curvature,0.5,0.36942845864820983,0.40936188396050593,0.0399334253122961,0.35883571157911665,0.14117988915042673,0.14127071832053084,0.3587136809499258
vicenza,curvature,everyday_k0.1_t020,curvature,0.5,0.42168299456015346,0.40936188396050593,-0.012321110599647522,0.3714865448609335,0.1285521765015934,0.12861988503871402,0.37134139359875906
vicenza,curvature,everyday_k0.2_t010,curvature,0.5,0.30292339205778374,0.40936188396050593,0.1064384919027222,0.3239277976371581,0.17607040507647986,0.1761786322624894,0.3238231650238726
vicenza,curvature,everyday_k0.2_t020,curvature,0.5,0.4860843234358527,0.40936188396050593,-0.0767224394753468,0.37056864134666717,0.12933639069595665,0.12953778855298037,0.3705571794043958
vicenza,curvature,everyday_k0.3_t010,curvature,0.5,0.3201810908121081,0.40936188396050593,0.08918079314839783,0.3183442230602659,0.1815803241122326,0.18176220683938163,0.3183132459881199
vicenza,curvature,everyday_k0.3_t015,curvature,0.5,0.43825429674469996,0.40936188396050593,-0.02889241278419402,0.343172751252975,0.1568626118858545,0.15693367864667257,0.34303095821449797
vicenza,curvature,everyday_k0.3_t020,curvature,0.5,0.541258060902441,0.40936188396050593,-0.13189617694193506,0.37234527585299176,0.12768309824932123,0.12776115404665572,0.37221047185103123
vicenza,curvature,emergency_lam1.4,curvature,0.5,0.3914748437591784,0.33978713685130946,-0.05168770690786895,0.34457828292855847,0.15541721757020657,0.15687623954424484,0.3431282599569901
vicenza,curvature,emergency_lam2.2,curvature,0.5,0.3914748437591784,0.4734296744684756,0.08195483070929721,0.34307138482503974,0.1569241156737253,0.15337827054403866,0.3466262289571963
vicenza,form_swap,formswap_everyday_box_cox,form_swap,0.5,0.36038623527388935,0.40936188396050593,0.04897564868661658,0.37361843620898244,0.1264485199949576,0.1264879936906651,0.37344505010539486
vicenza,form_swap,formswap_emergency_exponential,form_swap,0.5,0.3914748437591784,0.31597747447635777,-0.07549736928282064,0.34067288753200836,0.15932261296675665,0.16175746683483677,0.33824703266639816
vicenza,threshold,threshold_0.4,threshold,0.4,,,,0.246545095102667,0.1533314928234919,0.1551191231986289,0.4450042888752122
vicenza,threshold,threshold_0.5,threshold,0.5,,,,0.3445798471178435,0.15541565338092153,0.15552658278180403,0.34447791671943095
vicenza,threshold,threshold_0.6,threshold,0.6,,,,0.4543384786242214,0.14569756099412923,0.14654508087691406,0.25341887950473535
vicenza,threshold,threshold_0.75,threshold,0.75,,,,0.6386946831181506,0.11129578353027829,0.11065693944913091,0.13935259390244017
