city,axis,variant,layer,threshold,gini_everyday,gini_emergency,divergence_gap,share_LL,share_LH,share_HL,share_HH
zilina,curvature,baseline,baseline,0.5,0.3413722594545196,0.44248217216009533,0.10110991270557573,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,curvature,everyday_k0.1_t010,curvature,0.5,0.32014547665286697,0.44248217216009533,0.12233669550722837,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,curvature,everyday_k0.1_t015,curvature,0.5,0.352784991651946,0.44248217216009533,0.08969718050814934,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,curvature,everyday_k0.1_t020,curvature,0.5,0.38746694020238165,0.44248217216009533,0.055015231957713684,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,curvature,everyday_k0.2_t010,curvature,0.5,0.2852409346481527,0.44248217216009533,0.15724123751194263,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,curvature,everyday_k0.2_t020,curvature,0.5,0.3877343931634974,0.44248217216009533,0.05474777899659794,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,curvature,everyday_k0.3_t010,curvature,0.5,0.28804914979973767,0.44248217216009533,0.15443302236035766,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,curvature,everyday_k0.3_t015,curvature,0.5,0.3538852709406047,0.44248217216009533,0.08859690121949065,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,curvature,everyday_k0.3_t020,curvature,0.5,0.39154634675369715,0.44248217216009533,0.05093582540639818,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,curvature,emergency_lam1.4,curvature,0.5,0.3413722594545196,0.3702201346191933,0.028847875164673686,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,curvature,emergency_lam2.2,curvature,0.5,0.3413722594545196,0.5066340156699274,0.16526175621540778,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,form_swap,formswap_everyday_box_cox,form_swap,0.5,0.382968018248759,0.44248217216009533,0.059514153911336354,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,form_swap,formswap_emergency_exponential,form_swap,0.5,0.3413722594545196,0.3488160378033888,0.007443778348869223,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,threshold,threshold_0.4,threshold,0.4,,,,0.31668033100461807,0.08325194314481874,0.07968393464426843,0.5203837912062947
zilina,threshold,threshold_0.5,threshold,0.5,,,,0.367399960394134,0.13251448168056612,0.12749302448024974,0.37259253344505017
zilina,threshold,threshold_0.6,threshold,0.6,,,,0.47006650245046006,0.12997445388240916,0.14650577495717387,0.2534532687099569
zilina,threshold,threshold_0.75,threshold,0.75,,,,0.6174127371457997,0.1325718651433553,0.1164327405686571,0.13358265714218792
